Time (s),Thrust (kN)
6.38,16.194144540390095
6.4,16.194178539023575
6.42,16.193781402342324
6.44,16.193602832876014
6.46,16.19309536951267
6.48,16.193293866102106
6.5,16.19317820267966
6.5200000000000005,16.192785908502522
6.54,16.19307057002894
6.5600000000000005,16.192222906695257
6.58,16.192792442376167
6.6000000000000005,16.192204369301514
6.62,16.188751552842472
6.640000000000001,16.18715335969132
6.66,16.18770036111487
6.68,16.189114906049248
6.7,16.18919781143425
6.72,16.18858464556951
6.74,16.187608471715052
6.76,16.186207513362376
6.78,16.18781293054804
6.8,16.186390305595612
6.82,16.187851676663872
6.84,16.187480880499667
6.86,16.187089040447006
6.88,16.185675613251632
6.9,16.184321102175456
6.92,16.17666435480942
6.94,16.185232277790615
6.96,16.18537732193304
6.98,16.1848855397467
7.0,16.18446840947975
7.0200000000000005,16.18455908296327
7.04,16.183834461212317
7.0600000000000005,16.179536478337194
7.08,16.184280281750024
7.1000000000000005,16.183455571787036
7.12,16.183474081336776
7.140000000000001,16.183202819883324
7.16,16.183606709564952
7.18,16.185127794913566
7.2,16.18275262229647
7.22,16.181254280890343
7.24,16.181076466572833
7.26,16.180503080194516
7.28,16.181867590080437
7.3,16.182012080042146
7.32,16.18013840165531
7.34,16.174799791838886
7.36,16.175218454928558
7.38,16.178525493804084
7.4,16.170850337337267
7.42,16.172953142545158
7.44,16.17687772370467
7.46,16.18259588087948
7.48,16.177044440169805
7.5,16.176877671694182
7.5200000000000005,16.176680094750783
7.54,16.17629487196788
7.5600000000000005,16.176120913337
7.58,16.17614929358624
7.6000000000000005,16.171070280249264
7.62,16.175816029932598
7.640000000000001,16.17722227526421
7.66,16.180277970761953
7.68,16.172060870701998
7.7,16.17029633688459
7.72,16.17972040322203
7.74,16.177458847089337
7.76,16.171446962679212
7.78,16.171203344568866
7.8,16.180492323075462
7.82,16.17873302196001
7.84,16.178714398539093
7.86,16.179961120891786
7.88,16.175137606231008
7.9,16.178366391773412
7.92,16.1796511586482
7.94,16.178822446663197
7.96,16.176927999299764
7.98,16.178334935150012
8.0,16.17240248091686
8.02,16.179327671737287
8.040000000000001,16.17791860382422
8.06,16.1710419956074
8.08,16.178118319546886
8.1,16.174688501124617
8.120000000000001,16.17222390229217
8.14,16.179172670956294
8.16,16.178819334267597
8.18,16.17796297812804
8.2,16.177433729287664
8.22,16.180170735220432
8.24,16.1799939720564
8.26,16.17687049176827
8.28,16.17680574251006
8.3,16.17278882501864
8.32,16.176626895297996
8.34,16.16981651705393
8.36,16.179420167378307
8.38,16.174179074566556
8.4,16.179713925654696
8.42,16.182222592770774
8.44,16.17812312097725
8.46,16.176094098594888
8.48,16.167651134140623
8.5,16.171023901796655
8.52,16.177360879523707
8.540000000000001,16.17762015325847
8.56,16.17539588679562
8.58,16.177167031453642
8.6,16.180425611704035
8.620000000000001,16.17986581925702
8.64,16.179762424470827
8.66,16.179118880558022
8.68,16.175351698112276
8.700000000000001,16.179431944650425
8.72,16.17936545947525
8.74,16.174070147467297
8.76,16.179195199593973
8.78,16.170576371502733
8.8,16.17880330434717
8.82,16.174962076955467
8.84,16.17269045627753
8.86,16.178124849080554
8.88,16.174932465885664
8.9,16.172787152914548
8.92,16.16821992547196
8.94,16.16557813795471
8.96,16.17431555182956
8.98,16.174051968087642
9.0,16.170821860500585
9.02,16.173359490407314
9.040000000000001,16.17306521468439
9.06,16.172223017466663
9.08,16.170318489978158
9.1,16.171071219913003
9.120000000000001,16.168698014495785
